orin,id,long,lat
1134,133170989,-74.0034241634,40.75992273375
1188,133171009,-74.003477383,40.75960025615
1350,133171021,-73.9850101818,40.76084985685
1242,133170979,-74.0032645046,40.76008397255
1134,133171005,-74.0031048458,40.76032583075
1134,133171027,-74.0036370418,40.75960025615
1134,133171035,-74.00353060260001,40.75980180465
1512,133171015,-74.00278552820001,40.76084985685
162,133171003,-74.00337094380001,40.75980180465
1188,133170973,-74.003477383,40.75980180465
162,133170991,-74.0033177242,40.75988242405
1188,133171037,-74.0032645046,40.76000335315
1188,133171007,-74.0033177242,40.75984211435
1134,1030000300,-74.0033177242,40.76000335315
1080,945250838,-74.00337094380001,40.75976149495
1080,133161454,-74.0031580654,40.75996304345
162,133170961,-74.0031048458,40.76012428225
1080,133171023,-73.981391249,40.75298946535
